"ID","Online meetings attended","Bonus activities done","Log-in and log-outs with no activities","Average number of activites accessed before each test"
"1","3","25","5","77.0"
"2","3","19","2","35.0"
"3","11","17","1","98.0"
"4","6","6","2","96.0"
"5","6","7","9","77.0"
"6","6","20","4","116.0"
"7","0","0","0","0.0"
"8","18","7","2","107.0"
"9","1","9","12","80.0"
"10","8","9","12","0.0"
"11","12","13","5","84.0"
"12","0","19","11","114.0"
"13","10","9","11","121.0"
"14","5","8","3","95.0"
"15","2","8","12","99.0"
"16","7","9","11","92.0"
"17","5","5","2","74.0"
"18","1","6","0","77.0"
"19","3","14","5","139.0"
"20","1","4","2","67.0"
"21","0","14","2","67.0"
"22","10","17","0","113.0"
"23","3","6","2","51.0"
"24","6","8","2","74.0"
"25","0","19","2","94.0"
"26","5","8","1","83.0"
"27","7","6","2","98.0"
"28","13","23","1","99.0"
"29","4","34","2","135.0"
"30","1","14","12","81.0"
"31","5","26","52","117.0"
"32","0","5","1","53.0"
"33","0","9","1","101.0"
"34","1","6","7","72.0"
"35","4","17","4","92.0"
"36","9","23","3","101.0"
"37","3","11","6","95.0"
"38","0","9","3","77.0"
"39","5","19","1","147.0"
"40","3","5","3","62.0"
"41","1","12","2","78.0"
"42","13","12","1","72.0"
"43","4","6","1","91.0"
"44","3","12","6","86.0"
"45","10","8","2","72.0"
"46","0","8","3","61.0"
"47","5","11","13","134.0"
"48","13","14","2","68.0"
"49","1","10","4","77.0"
"50","3","14","5","93.0"
"51","6","28","8","134.0"
"52","4","19","7","103.0"
"53","7","77","5","149.0"
"54","3","13","5","85.0"
"55","3","10","2","81.0"
"56","0","17","24","112.0"
"57","9","6","2","83.0"
"58","14","12","3","93.0"
"59","1","7","7","70.0"
"60","4","11","6","120.0"
"61","1","16","15","106.0"
"62","16","28","3","152.0"
"63","0","30","9","80.0"
"64","16","19","0","103.0"
"65","6","8","8","125.0"
"66","4","16","2","91.0"
"67","0","11","1","152.0"
"68","10","6","13","86.0"
"69","8","98","11","161.0"
"70","0","9","5","101.0"
"71","3","11","29","83.0"
"72","7","14","3","131.0"
"73","4","11","10","122.0"
"74","6","13","8","91.0"
"75","12","9","3","70.0"
"76","6","6","3","70.0"
"77","5","26","3","121.0"
"78","0","15","12","108.0"
"79","0","7","3","73.0"
"80","0","20","2","141.0"
"81","0","8","23","68.0"
"82","5","16","1","111.0"
"83","7","4","5","67.0"
"84","1","8","1","103.0"
"85","12","6","0","78.0"
"86","3","16","10","35.0"
"87","0","8","13","58.0"
"88","5","25","2","80.0"
"89","4","8","8","43.0"
"90","4","13","4","128.0"
"91","0","5","0","59.0"
"92","3","13","11","91.0"
"93","1","6","0","84.0"
"94","0","18","10","102.0"
"95","9","31","6","129.0"
"96","2","10","0","84.0"
"97","4","6","5","83.0"
"98","0","12","3","99.0"
"99","5","6","1","84.0"
"100","13","5","3","79.0"
"101","8","9","5","64.0"
"102","0","19","5","100.0"
"103","3","11","10","115.0"
"104","2","8","3","107.0"
"105","3","3","3","67.0"
"106","4","16","5","95.0"
"107","12","15","32","179.0"
"108","2","8","2","112.0"
"109","2","13","2","89.0"
"110","1","10","2","65.0"
