"ID","time of ASR 1","time of ASR 2A","time of ASR 2B","time of ASR 2C","time of ASR 3","time of ASR 4","time of ASR 5","time of ASR 6","time of ASR 7A","time of ASR 7B"
"1","2","2","2","1","9","2","0","0","0","0"
"2","3","1","2","2","3","3","0","0","0","0"
"3","9","0","2","2","5","4","0","0","0","0"
"4","4","1","66","1","2","4","0","0","0","0"
"5","6","3","5","7","7","13","0","0","0","0"
"6","0","1","4","2","6","8","3","0","0","0"
"7","2","2","3","2","2","6","0","0","0","0"
"8","3","1","3","2","3","0","0","0","0","0"
"9","3","1","2","2","2","3","0","0","0","0"
"10","6","1","2","4","5","6","0","0","0","0"
"11","3","1","2","1","3","6","2","0","0","0"
"12","3","1","4","1","6","5","0","0","0","0"
"13","6","1","9","2","3","5","0","0","0","0"
"14","9","1","2","2","3","9","5","0","0","0"
"15","2","0","2","1","2","4","0","0","0","0"
"16","1","0","2","1","1","3","0","0","0","0"
"17","2","1","2","1","3","0","0","0","0","0"
"18","3","1","2","1","3","5","0","0","0","0"
"19","3","1","4","3","4","7","0","0","0","0"
"20","2","1","2","1","2","4","0","0","0","0"
"21","3","1","2","1","5","3","0","0","0","0"
"22","1","1","1","2","2","2","0","0","0","0"
"23","3","0","1","2","1","4","0","0","0","0"
"24","5","1","3","2","4","15","0","0","0","0"
"25","4","2","8","3","0","0","0","0","0","0"
"26","33","2","4","2","6","2","3","0","0","0"
"27","2","0","1","2","2","4","0","0","0","0"
"28","7","2","7","3","12","0","0","0","0","0"
"29","2","2","11","7","1","12","0","0","0","0"
"30","3","1","2","2","2","3","0","0","0","0"
"31","1","0","2","2","4","4","3","0","0","0"
"32","4","1","1","1","2","4","0","0","0","0"
"33","5","1","2","3","3","4","0","0","0","0"
"34","16","1","5","2","3","3","0","0","0","0"
"35","4","1","3","3","3","4","0","0","0","0"
"36","4","1","3","2","0","0","0","0","0","0"
"37","4","2","3","3","5","18","0","0","0","0"
"38","3","2","5","1","2","5","0","0","0","0"
"39","2","1","2","1","2","2","0","0","0","0"
"40","3","0","3","2","4","4","0","0","0","0"
"41","1","1","2","1","1","1","4","0","0","0"
"42","18","1","1","1","2","3","0","0","0","0"
"43","5","2","3","3","4","4","0","0","0","0"
"44","8","3","7","2","0","3","0","0","0","0"
"45","6","1","5","2","9","6","3","0","0","0"
"46","3","1","6","3","4","10","0","0","0","0"
"47","2","1","3","0","4","6","0","0","0","0"
"48","3","1","6","11","3","6","0","0","0","0"
"49","2","1","2","2","2","11","0","0","0","0"
"50","1","1","0","2","1","3","0","0","0","0"
"51","3","1","2","2","6","4","0","0","0","0"
"52","4","1","52","3","4","9","0","0","0","0"
"53","5","1","1","2","2","3","0","0","0","0"
"54","18","3","8","5","9","10","0","0","0","0"
"55","5","2","6","1","7","12","0","0","0","0"
"56","5","1","2","3","6","12","0","0","0","0"
"57","2","1","1","2","2","0","0","0","0","0"
"58","1","1","1","2","2","4","0","0","0","0"
"59","4","1","2","1","1","4","0","0","0","0"
"60","7","2","7","6","11","8","0","0","0","0"
"61","3","1","3","2","2","4","0","0","0","0"
"62","5","1","3","2","3","4","0","0","0","0"
"63","7","2","6","4","5","7","0","0","0","0"
"64","12","1","83","5","2","3","0","0","0","0"
"65","3","1","1","1","2","0","0","0","0","0"
"66","3","2","3","52","2","2","12","0","0","0"
"67","4","1","3","2","3","5","0","0","0","0"
"68","2","1","2","2","2","3","0","0","0","0"
"69","2","0","2","1","1","3","0","0","0","0"
"70","4","1","2","2","3","4","0","0","0","0"
"71","4","1","5","5","3","6","0","0","0","0"
"72","2","1","2","2","0","0","0","0","0","0"
"73","3","1","2","1","3","3","0","0","0","0"
"74","5","4","9","8","10","17","0","0","0","0"
"75","2","2","2","1","2","2","0","0","0","0"
"76","4","2","6","3","6","0","0","0","0","0"
"77","2","1","2","1","0","2","0","0","0","0"
"78","2","1","3","2","2","2","0","0","0","0"
"79","5","1","4","3","4","6","0","0","0","0"
"80","2","1","1","2","1","6","0","0","0","0"
"81","4","2","5","3","12","8","0","0","0","0"
"82","2","2","2","7","3","5","0","0","0","0"
"83","4","1","3","9","6","3","0","0","0","0"
"84","8","2","6","3","11","0","0","0","0","0"
"85","4","1","3","2","3","4","0","0","0","0"
"86","2","1","3","1","2","3","0","0","0","0"
"87","2","0","1","2","1","2","0","0","0","0"
"88","2","1","1","2","2","2","0","0","0","0"
"89","4","2","10","4","3","8","0","0","0","0"
"90","3","1","3","2","3","4","0","0","0","0"
"91","4","1","4","3","10","8","0","0","0","0"
"92","4","1","3","2","3","8","0","0","0","0"
"93","2","1","2","1","1","3","0","0","0","0"
"94","2","0","2","1","2","2","0","0","0","0"
"95","20","6","12","4","9","19","0","0","0","0"
"96","13","2","8","5","8","15","0","0","0","0"
"97","2","1","3","3","5","2","7","0","0","0"
"98","20","2","21","5","11","13","0","0","0","0"
"99","2","0","0","0","0","0","0","0","0","0"
"100","3","1","3","2","4","8","3","0","0","0"
"101","11","1","10","5","9","9","0","0","0","0"
"102","5","0","2","1","3","6","0","0","0","0"
"103","4","1","1","2","4","5","0","0","0","0"
"104","1","1","1","0","2","2","0","0","0","0"
"105","6","1","4","2","4","12","0","0","0","0"
"106","3","1","3","2","2","8","0","0","0","0"
"107","0","0","0","0","0","0","0","0","0","0"
"108","3","1","5","4","6","7","0","0","0","0"
"109","6","1","4","4","7","11","5","0","0","0"
"110","1","1","2","1","2","4","0","0","0","0"
