"ID","Time between Final Review and Final"
"1","0"
"2","0"
"3","119"
"4","0"
"5","0"
"6","48"
"7","0"
"8","673"
"9","0"
"10","68"
"11","0"
"12","5"
"13","0"
"14","186"
"15","58"
"16","107"
"17","80"
"18","432"
"19","0"
"20","0"
"21","0"
"22","0"
"23","369"
"24","1076"
"25","0"
"26","0"
"27","0"
"28","0"
"29","0"
"30","966"
"31","46"
"32","75"
"33","1135"
"34","0"
"35","0"
"36","34"
"37","0"
"38","969"
"39","65"
"40","579"
"41","0"
"42","880"
"43","1279"
"44","298"
"45","0"
"46","1140"
"47","889"
"48","0"
"49","505"
"50","0"
"51","1152"
"52","990"
"53","646"
"54","0"
"55","1002"
"56","2"
"57","0"
"58","1383"
"59","0"
"60","0"
"61","19"
"62","0"
"63","1276"
"64","1095"
"65","0"
"66","0"
"67","0"
"68","153"
"69","0"
"70","1191"
"71","1434"
"72","0"
"73","0"
"74","67"
"75","1284"
"76","0"
"77","0"
"78","0"
"79","14"
"80","0"
"81","146"
"82","1296"
"83","962"
"84","0"
"85","0"
"86","139"
"87","2"
"88","0"
"89","0"
"90","0"
"91","77"
"92","987"
"93","1006"
"94","0"
"95","0"
"96","0"
"97","1424"
"98","370"
"99","0"
"100","78"
"101","0"
"102","0"
"103","203"
"104","0"
"105","0"
"106","0"
"107","0"
"108","0"
"109","0"
"110","0"
