"ID","Final PracticeTime"
"1","1"
"2","1"
"3","1"
"4","1"
"5","2"
"6","0"
"7","0"
"8","1"
"9","0"
"10","0"
"11","1"
"12","0"
"13","2"
"14","0"
"15","0"
"16","0"
"17","0"
"18","1"
"19","0"
"20","1"
"21","0"
"22","1"
"23","0"
"24","1"
"25","0"
"26","0"
"27","0"
"28","2"
"29","2"
"30","0"
"31","1"
"32","1"
"33","0"
"34","1"
"35","0"
"36","0"
"37","1"
"38","1"
"39","0"
"40","1"
"41","0"
"42","1"
"43","0"
"44","0"
"45","0"
"46","0"
"47","1"
"48","1"
"49","1"
"50","1"
"51","2"
"52","1"
"53","1"
"54","0"
"55","1"
"56","1"
"57","0"
"58","1"
"59","1"
"60","1"
"61","1"
"62","0"
"63","0"
"64","1"
"65","0"
"66","0"
"67","1"
"68","0"
"69","1"
"70","0"
"71","0"
"72","0"
"73","1"
"74","1"
"75","0"
"76","0"
"77","0"
"78","0"
"79","1"
"80","0"
"81","1"
"82","0"
"83","0"
"84","0"
"85","0"
"86","4"
"87","0"
"88","1"
"89","0"
"90","1"
"91","0"
"92","2"
"93","0"
"94","0"
"95","1"
"96","1"
"97","1"
"98","1"
"99","0"
"100","1"
"101","1"
"102","1"
"103","0"
"104","0"
"105","0"
"106","1"
"107","0"
"108","2"
"109","2"
"110","1"
