"ID","TestB 1","TestB 2 Part1","TestB 2 Part2","TestB 3","TestB 4","TestB 5","TestB 6","TestB 7"
"1","0","4","2","3","2","0","0","0"
"2","4","4","4","0","4","0","0","0"
"3","2","4","0","4","0","0","0","0"
"4","0","3","0","3","0","0","0","0"
"5","4","4","4","4","4","0","0","0"
"6","2","2","1","0","0","0","0","0"
"7","0","0","0","4","0","0","0","0"
"8","7","8","0","0","0","0","0","0"
"9","2","2","0","0","0","0","0","0"
"10","4","0","3","4","0","0","0","0"
"11","2","0","1","2","0","0","0","0"
"12","0","4","4","0","0","0","0","0"
"13","0","0","0","0","4","0","0","0"
"14","0","0","2","0","0","0","0","0"
"15","1","2","2","2","2","0","0","0"
"16","2","2","2","3","0","0","0","0"
"17","3","0","4","0","4","0","0","0"
"18","0","0","0","0","0","0","0","0"
"19","4","0","0","0","4","0","0","0"
"20","4","4","4","5","0","0","0","0"
"21","0","0","3","3","2","0","0","0"
"22","2","3","3","3","3","0","0","0"
"23","4","4","0","3","0","0","0","0"
"24","0","4","0","2","0","0","0","0"
"25","12","12","11","0","0","0","0","0"
"26","0","1","0","0","0","0","0","0"
"27","4","4","4","4","4","0","0","0"
"28","3","3","3","0","3","0","0","0"
"29","1","1","0","1","0","0","0","0"
"30","0","3","0","3","0","0","0","0"
"31","4","3","0","2","0","0","0","0"
"32","0","0","0","0","0","0","0","0"
"33","3","3","4","4","4","0","0","0"
"34","0","0","0","0","0","0","0","0"
"35","0","0","4","0","0","0","0","0"
"36","0","4","4","0","0","0","0","0"
"37","4","12","5","4","0","0","0","0"
"38","4","3","3","4","4","0","0","0"
"39","2","3","0","4","0","0","0","0"
"40","0","0","2","3","0","0","0","0"
"41","3","0","0","3","3","0","0","0"
"42","4","4","0","0","0","0","0","0"
"43","0","0","0","3","0","0","0","0"
"44","4","4","4","4","4","0","0","0"
"45","4","4","4","0","0","0","0","0"
"46","3","4","4","4","3","0","0","0"
"47","0","1","0","0","1","0","0","0"
"48","1","3","2","4","4","0","0","0"
"49","4","0","5","5","0","0","0","0"
"50","4","4","4","4","0","0","0","0"
"51","2","3","0","0","4","0","0","0"
"52","4","3","4","4","0","0","0","0"
"53","4","4","0","0","0","0","0","0"
"54","3","3","3","3","0","0","0","0"
"55","0","0","3","0","0","0","0","0"
"56","3","4","3","2","0","0","0","0"
"57","0","0","0","0","0","0","0","0"
"58","2","4","0","4","4","0","0","0"
"59","4","0","0","4","4","0","0","0"
"60","0","0","2","2","2","0","0","0"
"61","4","4","4","2","4","0","0","0"
"62","2","3","0","4","4","0","0","0"
"63","0","0","0","3","0","0","0","0"
"64","3","11","0","4","0","0","0","0"
"65","9","6","5","8","0","0","0","0"
"66","0","0","0","0","0","0","0","0"
"67","2","0","3","2","2","0","0","0"
"68","0","4","0","0","0","0","0","0"
"69","0","0","0","3","0","0","0","0"
"70","3","3","2","2","3","0","0","0"
"71","0","0","0","0","0","0","0","0"
"72","4","0","10","0","0","0","0","0"
"73","3","4","4","4","4","0","0","0"
"74","2","1","0","0","0","0","0","0"
"75","0","1","0","0","0","0","0","0"
"76","10","6","11","11","0","0","0","0"
"77","0","0","4","0","0","0","0","0"
"78","2","3","3","3","3","0","0","0"
"79","3","4","4","4","4","0","0","0"
"80","0","0","0","0","4","0","0","0"
"81","1","3","3","4","4","0","0","0"
"82","4","1","1","3","3","0","0","0"
"83","0","3","0","3","3","0","0","0"
"84","4","8","11","11","0","0","0","0"
"85","1","1","3","2","3","0","0","0"
"86","3","0","0","0","0","0","0","0"
"87","4","0","4","4","4","0","0","0"
"88","4","4","4","4","0","0","0","0"
"89","0","8","3","0","4","0","0","0"
"90","3","9","0","4","0","0","0","0"
"91","4","0","0","0","4","0","0","0"
"92","0","0","0","0","0","0","0","0"
"93","3","3","3","3","3","0","0","0"
"94","3","4","3","4","4","0","0","0"
"95","0","4","0","2","0","0","0","0"
"96","4","4","3","4","0","0","0","0"
"97","1","1","0","1","0","0","0","0"
"98","2","0","0","3","4","0","0","0"
"99","4","0","0","0","0","0","0","0"
"100","0","0","1","0","0","0","0","0"
"101","3","4","0","0","4","0","0","0"
"102","0","0","0","0","0","0","0","0"
"103","1","3","4","4","3","0","0","0"
"104","9","6","0","12","0","0","0","0"
"105","1","1","0","2","1","0","0","0"
"106","0","0","0","0","0","0","0","0"
"107","0","0","0","0","0","0","0","0"
"108","4","0","5","5","0","0","0","0"
"109","2","0","2","3","0","0","0","0"
"110","2","3","2","2","2","0","0","0"
