"ID","Number of ASRs"
"1","6"
"2","6"
"3","6"
"4","6"
"5","6"
"6","7"
"7","6"
"8","5"
"9","6"
"10","6"
"11","7"
"12","6"
"13","6"
"14","7"
"15","6"
"16","6"
"17","6"
"18","6"
"19","6"
"20","6"
"21","6"
"22","6"
"23","6"
"24","6"
"25","4"
"26","7"
"27","6"
"28","6"
"29","6"
"30","7"
"31","7"
"32","6"
"33","6"
"34","6"
"35","6"
"36","4"
"37","6"
"38","6"
"39","6"
"40","6"
"41","7"
"42","6"
"43","6"
"44","7"
"45","7"
"46","6"
"47","6"
"48","6"
"49","6"
"50","6"
"51","6"
"52","6"
"53","6"
"54","6"
"55","6"
"56","7"
"57","6"
"58","6"
"59","7"
"60","6"
"61","6"
"62","6"
"63","6"
"64","6"
"65","5"
"66","7"
"67","6"
"68","6"
"69","6"
"70","6"
"71","6"
"72","4"
"73","6"
"74","6"
"75","6"
"76","5"
"77","5"
"78","6"
"79","6"
"80","6"
"81","6"
"82","6"
"83","6"
"84","5"
"85","6"
"86","6"
"87","6"
"88","6"
"89","6"
"90","6"
"91","6"
"92","6"
"93","6"
"94","6"
"95","7"
"96","6"
"97","7"
"98","6"
"99","1"
"100","7"
"101","6"
"102","6"
"103","6"
"104","6"
"105","6"
"106","6"
"107","0"
"108","6"
"109","7"
"110","6"
