"ID","Mid-Term Survey Time","End-Term Survey Time","Information Survey Time"
"1","3","0","4"
"2","11","0","4"
"3","7","7","3"
"4","6","0","7"
"5","17","1","11"
"6","0","4","6"
"7","4","0","67"
"8","0","11","4"
"9","4","0","5"
"10","17","4","4"
"11","4","5","4"
"12","0","7","4"
"13","7","0","3"
"14","7","7","4"
"15","4","4","7"
"16","0","8","3"
"17","2","4","3"
"18","5","4","5"
"19","15","10","8"
"20","0","8","4"
"21","5","0","2"
"22","12","0","7"
"23","7","0","3"
"24","10","11","5"
"25","0","8","4"
"26","26","19","6"
"27","4","3","8"
"28","17","6","10"
"29","12","6","7"
"30","4","4","4"
"31","14","6","6"
"32","6","6","4"
"33","5","6","9"
"34","1","6","5"
"35","7","7","4"
"36","0","10","3"
"37","14","9","6"
"38","2","2","7"
"39","6","0","4"
"40","7","4","4"
"41","2","0","2"
"42","0","13","10"
"43","5","7","0"
"44","8","15","4"
"45","14","12","4"
"46","12","5","9"
"47","7","5","7"
"48","8","0","4"
"49","9","8","5"
"50","6","12","7"
"51","10","0","7"
"52","13","33","7"
"53","2","0","9"
"54","30","0","8"
"55","18","15","6"
"56","8","0","5"
"57","1","9","4"
"58","6","7","6"
"59","0","0","4"
"60","5","8","6"
"61","9","0","7"
"62","7","0","4"
"63","0","15","14"
"64","6","7","4"
"65","3","0","11"
"66","12","0","8"
"67","3","0","4"
"68","0","9","3"
"69","5","0","3"
"70","8","0","5"
"71","0","5","3"
"72","0","0","4"
"73","0","7","4"
"74","8","0","8"
"75","6","6","3"
"76","0","0","5"
"77","0","0","3"
"78","3","4","4"
"79","2","8","5"
"80","0","5","3"
"81","5","7","4"
"82","7","0","8"
"83","4","3","4"
"84","6","0","8"
"85","3","4","4"
"86","6","7","4"
"87","0","0","6"
"88","7","0","4"
"89","4","0","3"
"90","10","4","4"
"91","0","12","6"
"92","8","0","5"
"93","6","5","4"
"94","7","8","6"
"95","20","14","7"
"96","0","15","18"
"97","3","0","4"
"98","5","5","4"
"99","0","0","4"
"100","0","6","5"
"101","0","0","4"
"102","6","0","6"
"103","2","8","7"
"104","0","8","2"
"105","3","0","5"
"106","4","5","5"
"107","0","0","7"
"108","0","0","6"
"109","24","24","10"
"110","6","5","5"
