"","X","num_submissions"
"1",1,9
"2",2,8
"3",3,6
"4",4,8
"5",5,9
"6",6,5
"7",7,4
"8",8,8
"9",9,4
"10",11,5
"11",12,5
"12",13,5
"13",14,4
"14",15,6
"15",16,8
"16",17,7
"17",18,6
"18",19,1
"19",20,3
"20",21,8
"21",22,8
"22",23,9
"23",24,5
"24",25,9
"25",26,9
"26",27,2
"27",28,9
"28",29,8
"29",30,6
"30",31,7
"31",32,5
"32",33,2
"33",34,9
"34",35,1
"35",36,3
"36",37,8
"37",38,8
"38",39,9
"39",40,5
"40",41,6
"41",42,7
"42",43,6
"43",44,2
"44",45,9
"45",46,5
"46",47,9
"47",48,4
"48",49,9
"49",50,7
"50",51,9
"51",52,5
"52",53,7
"53",54,3
"54",55,6
"55",56,2
"56",57,6
"57",58,1
"58",59,6
"59",60,5
"60",61,7
"61",62,9
"62",63,8
"63",64,2
"64",65,6
"65",66,9
"66",67,1
"67",68,9
"68",69,7
"69",70,2
"70",71,8
"71",72,1
"72",73,7
"73",74,7
"74",75,3
"75",76,9
"76",77,6
"77",78,7
"78",79,9
"79",80,8
"80",81,2
"81",82,9
"82",83,9
"83",84,6
"84",85,7
"85",86,9
"86",87,4
"87",88,8
"88",89,6
"89",90,5
"90",91,6
"91",92,3
"92",93,2
"93",94,9
"94",95,8
"95",96,4
"96",97,9
"97",98,9
"98",99,6
"99",100,2
"100",101,9
"101",102,7
"102",103,1
"103",104,9
"104",105,6
"105",106,9
"106",107,1
"107",108,1
"108",109,5
"109",110,5
"110",111,9
