,features,imp
4,avg_due,0.192228378197
5,avg_time_test,0.17817382427
9,Average number of activites accessed before each test,0.12726165095
2,act_per_day,0.0847729972605
14,Fluency Drills paticipation,0.078066219582
13,Unit Discussions paticipation,0.0574055759618
3,num_online_meetings,0.0492258933778
1,days_no_activities,0.0477021079695
0,num_logins,0.0401682745884
11,Surveys,0.0358046587204
12,CyberRat Assignments,0.034606714385
7, StudyingSupplementalMaterialActivities,0.0219608244608
15,Crossword paticipation,0.0214137931034
6, ReviewedActivities,0.0193602693603
8, TotalStudyGuideMaterials,0.00793103448276
10,Procedures Quiz,0.00391778332955
