ID,Number of days with 0 activities,Average Activities Per Session,Total Number of Logins,Above Average?
1,47,6.258426966,72,Y
2,77,3.528089888,39,Y
3,30,9.449438202,126,Y
4,42,9.134831461,124,N
5,54,5.842696629,88,Y
6,32,10.42696629,142,Y
7,0,0,0,Y
8,38,10.02247191,121,Y
9,60,6.853932584,57,Y
11,80,2.292134831,33,Y
12,50,6.943820225,93,Y
13,28,10.56179775,135,Y
14,29,10.20224719,154,Y
15,32,9.179775281,125,Y
16,41,7.943820225,84,Y
17,45,8.202247191,113,Y
18,51,6.101123596,78,N
19,58,6.528089888,65,Y
20,32,14.17977528,123,Y
21,49,5.966292135,86,N
22,51,6.97752809,65,Y
23,31,10.16853933,124,Y
24,73,3.696629213,33,Y
25,47,7.651685393,75,Y
26,50,8.505617978,80,N
27,41,7,96,Y
28,35,8.314606742,99,N
29,53,9.93258427,65,N
30,33,13.80898876,135,Y
31,53,8.573033708,93,Y
32,28,9.97752809,142,Y
33,58,4.157303371,52,Y
34,26,9.775280899,142,Y
35,43,7.101123596,91,N
36,37,8.898876404,124,Y
37,44,8.494382022,78,N
38,22,9.606741573,114,N
39,48,7.078651685,76,Y
40,29,13.33707865,175,Y
41,53,4.764044944,68,Y
42,47,6.415730337,78,N
43,46,6.101123596,71,N
44,52,10.41573034,119,Y
45,34,7.662921348,136,N
46,44,6.95505618,81,Y
47,50,4.831460674,65,Y
48,33,12.2247191,157,Y
49,53,6.101123596,52,Y
50,56,7.460674157,55,N
51,47,7.842696629,89,Y
52,29,13.29213483,157,Y
53,29,10.14606742,148,N
54,30,14.86516854,138,N
55,39,7.573033708,88,N
56,39,7.865168539,93,Y
57,28,9.764044944,133,Y
58,36,8.573033708,112,Y
59,32,7.617977528,121,Y
60,56,6.438202247,70,Y
61,23,10.37078652,137,Y
62,27,8.853932584,158,Y
63,16,13,183,N
64,38,6.539325843,95,Y
65,37,8.808988764,103,N
66,36,10.64044944,122,N
67,38,7.337078652,94,Y
68,16,15.76404494,194,Y
69,31,7.449438202,88,Y
70,20,13.5505618,198,Y
